flag,href,name,proven,source,target
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammapoissonPascal.pdf,GammapoissonPascal,,Gammapoisson,Pascal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GeneralizedgammaGamma.pdf,GeneralizedgammaGamma,,Generalizedgamma,Gamma
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesLogarithm.pdf,PowerseriesLogarithm,,Powerseries,Logarithm
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GeneralizedgammaLognormal.pdf,GeneralizedgammaLognormal,False,Generalizedgamma,Lognormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformBeta.pdf,StandarduniformBeta,,Standarduniform,Beta
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/KolmogorovsmirnovUniform.pdf,KolmogorovsmirnovUniform,,Kolmogorovsmirnov,Uniform
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaArcsin.pdf,BetaArcsin,,Beta,Arcsin
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LoglogisticLogistic.pdf,LoglogisticLogistic,,Loglogistic,Logistic
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalNormal.pdf,StandardnormalNormal,,Standardnormal,Normal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralfF.pdf,NoncentralfF,,Noncentralf,F
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ParetoExponential.pdf,ParetoExponential,,Pareto,Exponential
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformExponentialT.pdf,StandarduniformExponentialT,,Standarduniform,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareF.pdf,ChisquareF,,Chisquare,F
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardcauchyCauchy.pdf,StandardcauchyCauchy,,Standardcauchy,Cauchy
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NegativehypergeometricBinomial.pdf,NegativehypergeometricBinomial,,Negativehypergeometric,Binomial
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalChisquare.pdf,StandardnormalChisquare,,Standardnormal,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BernoulliBinomial.pdf,BernoulliBinomial,,Bernoulli,Binomial
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MuthExponential.pdf,MuthExponential,,Muth,Exponential
